[2025-10-26 23:38:39] ERROR: Database logging failed: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'ovas_db.error_logs' doesn't exist in C:\xampp\htdocs\ovas\classes\ErrorLogger.php:117 | IP: ::1 | User: guest | Context: {"timestamp":"2025-10-26 23:38:39","level":"CRITICAL","message":"syntax error, unexpected token \"=>\"","context":{"trace":"#0 {main}","code":0},"file":"C:\\xampp\\htdocs\\ovas\\services.php","line":32,"user_id":null,"ip_address":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/141.0.0.0 Safari\/537.36","request_uri":"\/ovas\/?page=services"}
[2025-10-26 23:38:39] ERROR: Failed to create admin alert: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'ovas_db.admin_alerts' doesn't exist in C:\xampp\htdocs\ovas\classes\ErrorLogger.php:154 | IP: ::1 | User: guest | Context: []
[2025-10-26 23:39:49] CRITICAL: syntax error, unexpected token "=>" in C:\xampp\htdocs\ovas\services.php:32 | IP: ::1 | User: guest | Context: {"trace":"#0 {main}","code":0}
[2025-10-26 23:39:49] ERROR: Database logging failed: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'ovas_db.error_logs' doesn't exist in C:\xampp\htdocs\ovas\classes\ErrorLogger.php:117 | IP: ::1 | User: guest | Context: {"timestamp":"2025-10-26 23:39:49","level":"CRITICAL","message":"syntax error, unexpected token \"=>\"","context":{"trace":"#0 {main}","code":0},"file":"C:\\xampp\\htdocs\\ovas\\services.php","line":32,"user_id":null,"ip_address":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/141.0.0.0 Safari\/537.36","request_uri":"\/ovas\/?page=services"}
[2025-10-26 23:39:49] ERROR: Failed to create admin alert: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'ovas_db.admin_alerts' doesn't exist in C:\xampp\htdocs\ovas\classes\ErrorLogger.php:154 | IP: ::1 | User: guest | Context: []
[2025-10-26 23:41:58] CRITICAL: syntax error, unexpected token "=>" in C:\xampp\htdocs\ovas\services.php:32 | IP: ::1 | User: guest | Context: {"trace":"#0 {main}","code":0}
[2025-10-26 23:41:58] ERROR: Database logging failed: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'ovas_db.error_logs' doesn't exist in C:\xampp\htdocs\ovas\classes\ErrorLogger.php:117 | IP: ::1 | User: guest | Context: {"timestamp":"2025-10-26 23:41:58","level":"CRITICAL","message":"syntax error, unexpected token \"=>\"","context":{"trace":"#0 {main}","code":0},"file":"C:\\xampp\\htdocs\\ovas\\services.php","line":32,"user_id":null,"ip_address":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/141.0.0.0 Safari\/537.36","request_uri":"\/ovas\/?page=services"}
[2025-10-26 23:41:58] ERROR: Failed to create admin alert: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'ovas_db.admin_alerts' doesn't exist in C:\xampp\htdocs\ovas\classes\ErrorLogger.php:154 | IP: ::1 | User: guest | Context: []
[2025-10-27 11:19:20] 8: session_start(): Ignoring session_start() because a session is already active in C:\xampp\htdocs\ovas\admin\login.php:27 | IP: ::1 | User: guest | Context: []
[2025-10-27 11:20:42] 8: session_start(): Ignoring session_start() because a session is already active in C:\xampp\htdocs\ovas\admin\login.php:27 | IP: ::1 | User: guest | Context: []
[2025-10-27 11:20:51] 8: session_start(): Ignoring session_start() because a session is already active in C:\xampp\htdocs\ovas\admin\login.php:20 | IP: ::1 | User: guest | Context: []
[2025-10-27 11:20:51] 8: session_start(): Ignoring session_start() because a session is already active in C:\xampp\htdocs\ovas\admin\login.php:27 | IP: ::1 | User: guest | Context: []
[2025-10-28 15:43:24] CRITICAL: syntax error, unexpected token "=>" in C:\xampp\htdocs\ovas\services.php:32 | IP: ::1 | User: guest | Context: {"trace":"#0 {main}","code":0}
[2025-10-28 15:43:24] ERROR: Database logging failed: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'ovas_db.error_logs' doesn't exist in C:\xampp\htdocs\ovas\classes\ErrorLogger.php:117 | IP: ::1 | User: guest | Context: {"timestamp":"2025-10-28 15:43:24","level":"CRITICAL","message":"syntax error, unexpected token \"=>\"","context":{"trace":"#0 {main}","code":0},"file":"C:\\xampp\\htdocs\\ovas\\services.php","line":32,"user_id":null,"ip_address":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/141.0.0.0 Safari\/537.36","request_uri":"\/ovas\/?page=services"}
[2025-10-28 15:43:24] ERROR: Failed to create admin alert: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'ovas_db.admin_alerts' doesn't exist in C:\xampp\htdocs\ovas\classes\ErrorLogger.php:154 | IP: ::1 | User: guest | Context: []
[2025-10-28 16:03:39] CRITICAL: Call to undefined method mysqli_stmt::fetchAll() in C:\xampp\htdocs\ovas\admin\check_credentials.php:15 | IP: ::1 | User: guest | Context: {"trace":"#0 {main}","code":0}
[2025-10-28 16:03:39] ERROR: Database logging failed: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'ovas_db.error_logs' doesn't exist in C:\xampp\htdocs\ovas\classes\ErrorLogger.php:117 | IP: ::1 | User: guest | Context: {"timestamp":"2025-10-28 16:03:39","level":"CRITICAL","message":"Call to undefined method mysqli_stmt::fetchAll()","context":{"trace":"#0 {main}","code":0},"file":"C:\\xampp\\htdocs\\ovas\\admin\\check_credentials.php","line":15,"user_id":null,"ip_address":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Code\/1.105.1 Chrome\/138.0.7204.251 Electron\/37.6.0 Safari\/537.36","request_uri":"\/ovas\/admin\/check_credentials.php?id=9e029e0e-86fb-4436-8888-0a4b6e8e9ade&vscodeBrowserReqId=1761656619258"}
[2025-10-28 16:03:39] ERROR: Failed to create admin alert: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'ovas_db.admin_alerts' doesn't exist in C:\xampp\htdocs\ovas\classes\ErrorLogger.php:154 | IP: ::1 | User: guest | Context: []
[2025-10-28 16:03:57] 8: session_start(): Ignoring session_start() because a session is already active in C:\xampp\htdocs\ovas\admin\login.php:27 | IP: ::1 | User: guest | Context: []
[2025-10-28 16:54:40] CRITICAL: Call to undefined method mysqli_stmt::fetchAll() in C:\xampp\htdocs\ovas\admin\check_credentials.php:15 | IP: ::1 | User: guest | Context: {"trace":"#0 {main}","code":0}
[2025-10-28 16:54:40] ERROR: Database logging failed: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'ovas_db.error_logs' doesn't exist in C:\xampp\htdocs\ovas\classes\ErrorLogger.php:117 | IP: ::1 | User: guest | Context: {"timestamp":"2025-10-28 16:54:40","level":"CRITICAL","message":"Call to undefined method mysqli_stmt::fetchAll()","context":{"trace":"#0 {main}","code":0},"file":"C:\\xampp\\htdocs\\ovas\\admin\\check_credentials.php","line":15,"user_id":null,"ip_address":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Code\/1.105.1 Chrome\/138.0.7204.251 Electron\/37.6.0 Safari\/537.36","request_uri":"\/ovas\/admin\/check_credentials.php?id=9e029e0e-86fb-4436-8888-0a4b6e8e9ade&vscodeBrowserReqId=1761659678376"}
[2025-10-28 16:54:40] ERROR: Failed to create admin alert: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'ovas_db.admin_alerts' doesn't exist in C:\xampp\htdocs\ovas\classes\ErrorLogger.php:154 | IP: ::1 | User: guest | Context: []
[2025-10-28 16:54:43] 8: session_start(): Ignoring session_start() because a session is already active in C:\xampp\htdocs\ovas\admin\login.php:27 | IP: ::1 | User: guest | Context: []
